180.37,10.253,-23.5,24.042
135.37,-3,-0.70711,-28.991
32.371,-20.5,28.991,-24.042
-239.88,-13.5,-21.213,-5.6569
-119.38,10,20.506,-14.849
213.62,24,-23.335,-26.87
366.12,24,11.314,-4.2426
253.37,-38.5,-12.728,-6.364
254.12,4.5,-14.142,5.6569
-96.879,11,-31.113,21.213
-414.63,-0.5,24.042,6.364
-53.129,21.5,-10.607,28.284
-98.879,18,30.406,19.092
-456.63,8.5,24.042,31.82
-460.38,-25.5,-21.92,9.1924
-135.63,-18.5,-12.728,24.042
-207.63,27,34.648,83.439
-365.13,56.5,21.213,-27.577
-112.13,77.5,-19.799,-3.5355
138.37,-45,14.849,-30.406
-139.88,34.5,26.87,27.577
-341.88,3.5,-9.8995,-24.749
2.1209,-14.5,-0.70711,-36.77
-81.879,-6,12.728,33.941
-330.13,-9.5,31.113,-1.4142
-486.13,-1.5,28.284,-12.728
-276.88,-10.5,-19.092,-7.0711
-270.63,-10,16.971,-82.731
-572.63,3.5,-12.021,9.1924
-751.63,-45,26.87,-4.2426
-279.13,22,4.9497,-11.314
142.37,-16,-21.213,31.113
96.621,37,11.314,22.627
39.121,-25,-7.0711,4.2426
171.87,-14.5,-7.7782,16.263
199.37,-7.5,-36.062,-6.364
169.12,-22.5,19.799,8.4853
-115.13,-0.5,-6.364,9.1924
-143.38,5,21.92,-17.678
298.37,39.5,-16.263,18.385
317.12,38.5,15.556,-6.364
99.621,9.5,-9.1924,10.607
106.62,31,-29.698,-31.82
1548.9,-72,-26.87,-1.4142
1633.9,-14.5,-41.719,-2.8284
697.12,-25.5,13.435,-19.092
-264.88,-32,10.607,4.9497
84.621,-33,-31.82,3.5355
7.6209,-40.5,36.77,-26.163
160.12,-8,-18.385,24.042
484.12,-7,-27.577,7.7782
682.87,-10.5,4.9497,-2.8284
915.12,10,-31.113,31.113
1649.6,-8.5,25.456,-27.577
1727.4,35.5,14.142,-26.87
1182.4,-16.5,-3.5355,23.335
556.62,-26.5,8.4853,-19.092
-85.129,70.5,19.799,19.799
-631.38,34,11.314,-6.364
-156.38,16,75.66,-31.113
-416.63,2,-41.719,36.062
-1179.1,6,2.8284,8.4853
-1509.6,6,9.8995,-20.506
-47,14.5,16.971,-14.142
-17.5,-3.5,-29.698,-2.1213
57,-6.5,-4.2426,8.4853
37.75,23,-29.698,-20.506
-64.75,6.5,-21.92,-25.456
-144.75,18,5.6569,-41.012
33.75,-7.5,7.7782,14.849
-30.5,-10,-9.8995,19.092
87.25,25.5,7.7782,-21.92
111.25,10,8.4853,-16.263
56,106,16.263,9.8995
-91.5,-119.5,-28.284,-9.8995
73.75,210.5,-19.092,-9.8995
88.5,-46,30.406,9.8995
-169.25,52,-12.728,26.87
-17.5,39.5,6.364,-0.70711
68,-7,20.506,-7.7782
34.5,6.5,32.527,-14.849
-227.5,13.5,1.4142,15.556
-1,40.5,-9.1924,3.5355
100.75,35.5,78.489,-19.799
161.75,37,-10.607,19.799
-89.75,-36.5,-50.912,-7.7782
62.25,-40.5,9.8995,24.749
77.5,-116.5,5.6569,-16.971
-61,-65,4.9497,-103.24
